"time(h)"	"Y"			"branch index"	"6h_withvortex"		"branch index"	"6h_novortex"
16.08333333	1.0036664							
16.1	1.00446879							
16.11666667	1.0035699							
16.13333333	1.0042506							
16.15	1.00492656							
16.16666667	1.00524552							
16.18333333	1.00176594							
16.2	1.00041261							
16.21666667	0.99454865							
16.23333333	0.99730332							
16.25	0.99885773							
16.26666667	1.00582925							
16.28333333	1.0038765							
16.3	1.00386129							
16.31666667	1.00233921							
16.33333333	0.99805723							
16.35	0.99739792							
16.36666667	0.99952797							
16.38333333	0.99800637							
16.4	0.99532491							
16.41666667	0.99465751							
16.43333333	0.99663022							
16.45	0.99395019							
16.46666667	0.99387223							
16.48333333	0.99181965							
16.5	0.99476589							
16.51666667	0.99432571							
16.53333333	0.99050198							
16.55	0.99251985							
16.56666667	0.99128156							
16.58333333	0.99292247							
16.6	0.99316966							
16.61666667	0.99688977							
16.63333333	0.99529638							
16.65	0.99196179							
16.66666667	0.99039597							
16.68333333	0.99134763							
16.7	0.99867282							
16.71666667	0.99354851							
16.73333333	0.99690403							
16.75	1.00223178							
16.76666667	1.0018477							
16.78333333	1.00137282							
16.8	0.9989219							
16.81666667	0.99964111							
16.83333333	0.99745116							
16.85	0.9991938							
16.86666667	1.00069924							
16.88333333	1.00045349							
16.9	0.99835575							
16.91666667	1.00096211							
16.93333333	0.99988069							
16.95	0.99799877							
16.96666667	0.99666445							
16.98333333	0.99250511							
17	0.99351857							
17.01666667	0.99621809							
17.03333333	0.9956472							
17.05	0.99327946							
17.06666667	0.9909412							
17.08333333	0.99536959							
17.1	0.99783192							
17.11666667	0.99289728							
17.13333333	0.99379522							
17.15	0.99412464							
17.16666667	0.99175881							
17.18333333	0.99034036							
17.2	0.9865613							
17.21666667	0.9870338							
17.23333333	0.98573942							
17.25	0.98252271							
17.26666667	0.97679185							
17.28333333	0.97934592							
17.3	0.984137							
17.31666667	0.98537054							
17.33333333	0.98642107							
17.35	0.98498123							
17.36666667	0.98149737							
17.38333333	0.97909922							
17.4	0.98161146							
17.41666667	0.98141941							
17.43333333	0.97978895							
17.45	0.97253079							
17.46666667	0.97166375							
17.48333333	0.97495937							
17.5	0.9807311							
17.51666667	0.97825451							
17.53333333	0.97897848							
17.55	0.97178972							
17.56666667	0.97664307							
17.58333333	0.97671104							
17.6	0.9731749							
17.61666667	0.96993394							
17.63333333	0.96728432							
17.65	0.97096403							
17.66666667	0.96427106							
17.68333333	0.9647564							
17.7	0.96480869							
17.71666667	0.96410564							
17.73333333	0.96259069							
17.75	0.97011838							
17.76666667	0.97080289							
17.78333333	0.97437421							
17.8	0.97295528							
17.81666667	0.96970625							
17.83333333	0.97703761							
17.85	0.97725247							
17.86666667	0.97213768							
17.88333333	0.97824738							
17.9	0.97512384							
17.91666667	0.96312214							
17.93333333	0.96335316							
17.95	0.96786806							
17.96666667	0.96702288							
17.98333333	0.96835006							
18	0.96737322							
18.01666667	0.96756098							
18.03333333	0.96965538							
18.05	0.96520466							
18.06666667	0.96308696							
18.08333333	0.96623522							
18.1	0.95728338							
18.11666667	0.96090794							
18.13333333	0.96266532							
18.15	0.95715598							
18.16666667	0.95830301							
18.18333333	0.95046967							
18.2	0.95523746							
18.21666667	0.95452205							
18.23333333	0.95136666							
18.25	0.94547514							
18.26666667	0.9485849							
18.28333333	0.94999384							
18.3	0.95161955							
18.31666667	0.94900178							
18.33333333	0.95536105							
18.35	0.95592339							
18.36666667	0.95017971							
18.38333333	0.94882448							
18.4	0.94519421							
18.41666667	0.94307699							
18.43333333	0.94561727							
18.45	0.94985219							
18.46666667	0.95022059							
