"time [h]"	"Idle rep 1"	"Idle rep 2"	"Idle rep 3"	"Idle rep 4"	"Idle rep 5"	"Idle rep 6"			"Agitated rep 1"	"Agitated rep 2"	"Agitated rep 3"
10.77028									2.630807563	5.656499	4.395903
10.82667									2.462260003	5.640056	3.697997
10.88306									2.513557086	5.516731	3.915526
10.93944									2.513557086	5.689386	4.069609
10.99583									2.220430896	5.648278	4.187438
11.05222									2.352337681	5.607169	4.051482
11.10861									2.71874542	5.385185	3.951781
11.165									2.308368753	5.722272	3.806762
11.22139									2.667448337	5.154978	3.688933
11.27778									2.293712443	5.418071	3.824889
11.33417									2.103180419	5.327633	3.46234
11.39056									2.176461967	5.302968	3.344512
11.44694									2.447603693	5.089205	3.589232
11.50333									2.315696908	5.179643	3.489531
11.55972									2.374322146	5.056318	4.133055
11.61611									2.440275539	5.196086	3.29013
11.6725									2.476916312	5.401628	3.317321
11.72889									2.24241536	5.048097	3.181365
11.78528									2.183790122	5.072762	3.353576
11.84167									2.161805657	4.809669	3.507659
11.89806									2.117836729	4.91655	3.000091
11.95444									2.366993991	4.908329	3.344512
12.01083									1.883335776	4.875442	3.108855
12.06722									2.667448337	5.01521	3.172301
12.12361									2.388978455	4.743895	2.991027
12.18									2.213102741	5.039875	3.407958
12.23639									2.154477503	4.661679	2.981963
12.29278									2.022570717	4.661679	3.398894
12.34917									2.235087205	4.382143	3.235747
12.40556									2.733401729	4.743895	3.009154
12.46194									2.454931848	4.86722	3.389831
12.51833									2.323025062	4.530132	3.562041
12.57472									2.3816503	4.151936	2.882262
12.63111									2.271727979	4.546576	3.46234
12.6875									2.711417265	4.776782	3.054473
12.74389									2.191118276	4.669901	2.565032
12.80028									2.71874542	4.645236	3.099792
12.85667									2.3816503	4.554797	3.235747
12.91306									2.447603693	4.571241	3.063537
12.96944									2.191118276	4.373921	3.172301
13.02583									2.125164883	4.513689	2.873199
13.08222									2.139821193	4.423251	2.519714
13.13861									1.758757145	4.250596	2.492522
13.195									1.861351312	4.11905	2.655669
13.25139									2.498900777	4.686344	2.392822
13.30778									1.663491133	4.176601	2.474395
13.36417									2.220430896	3.642194	2.456268
13.42056									1.978601788	4.127271	2.256866
13.47694									1.949289169	3.888843	2.474395
13.53333									2.220430896	3.740853	2.274993
13.58972									1.978601788	4.077941	2.238738
13.64611									1.780741609	3.880622	2.057464
13.7025									1.897992086	3.798405	2.465331
13.75889									2.191118276	4.258818	2.528777
13.81528									2.198446431	3.57642	2.465331
13.87167									1.75142899	3.847735	2.537841
13.92806									1.58288143	3.699745	2.619414
14.04083									1.839366847	3.831292	2.211547
14.09722									1.538912502	3.732632	2.211547
14.15361									1.524256192	3.666859	2.75537
14.21									1.91997655	3.518869	2.211547
14.26639									1.758757145	3.469539	2.184356
14.32278									1.897992086	3.42843	2.0484
14.37917									1.480287264	3.67508	2.293121
14.43556									1.700131907	3.305106	2.039337
14.49194									1.311739704	3.494204	2.474395
14.54833									1.436318335	3.362657	2.129974
14.60472									1.670819288	3.453095	2.139037
14.66111									1.465630954	3.222889	1.794616
14.7175									1.546240657	3.72441	1.80368
14.77389									1.319067859	2.984461	1.848998
14.83028									1.421662026	3.107786	2.003082
14.88667									1.341052323	3.091343	1.885253
14.94306									1.267770775	3.214667	1.776489
14.99944									1.326396013	2.869358	2.148101
15.05583									1.568225121	3.173559	2.129974
15.11222									1.450974645	3.050234	2.030273
15.16861									1.326396013	2.844693	1.73117
15.225									1.648834823	2.836471	1.595214
15.28139									1.091895061	2.770698	1.812744
15.33778									0.901363037	3.017348	2.202483
15.39417									1.509599883	2.639152	2.012145
15.45056									1.150520299	2.820028	1.848998
15.50694									1.025941668	2.943353	2.003082
15.56333									1.223801847	2.795363	1.912444
15.61972									0.549611608	2.318507	2.220611
15.67611									0.908691192	3.000904	1.368621
15.7325									0.894034882	2.376059	1.749298
15.78889									0.864722263	2.408945	2.0484
15.84528									1.194489228	2.746033	1.703979
15.90167									0.78411256	2.474718	1.848998
15.95806									1.069910597	2.754255	1.613342
16.01444									0.593580536	2.408945	1.540832
16.07083									0.96731643	2.417167	1.586151
16.12722									0.769456251	2.269177	1.522705
16.18361									0.410376667	2.252734	1.450195
16.24									0.938003811	2.655595	1.259857
16.29639									0.674190239	2.211625	1.568023
16.35278									0.79876887	2.836471	1.323303
16.40917									0.622893156	2.112966	1.477386
16.46556									0.78411256	2.343172	1.305175
16.52194									0.505642679	2.367837	1.069519
16.57833									0.600908691	1.710104	1.060455
16.63472									0.505642679	2.48294	1.178283
16.69111									0.806097025	2.071857	1.350494
16.7475									0.454345596	2.145852	0.915436
16.80389									0.087937857	2.154074	0.978882
16.86028									0.47633006	1.578558	1.241729
16.91667									0.139234941	1.964976	1.205474
16.97306									0.124578631	1.627888	1.196411
17.02944									0.637549465	2.211625	0.425995
17.08583									0.058625238	2.318507	0.761352
17.14222									0.505642679	1.890981	0.688843
17.19861									0.520298989	2.063636	1.459259
17.255									0.300454346	1.874538	1.042328
17.31139									0.425032977	1.718326	0.788543
17.36778									0.381064048	1.775878	1.051391
17.42417									0.498314524	1.808764	1.268921
17.48056									0.461673751	1.504563	0.761352
17.53694									0.212516488	1.545671	0.906372
17.59333									0.249157262	1.693661	0.63446
17.64972									0.212516488	1.562115	0.861053
17.70611									0.373735893	1.775878	0.842926
17.7625									0.505642679	1.216805	0.552887
17.81889									0.615565001	1.578558	0.652588
17.87528									0.64487762	1.932089	0.806671
17.93167									0.454345596	1.405903	1.105774
17.98806									0.139234941	1.58678	0.534759
18.04444									0.300454346	1.775878	0.888244
18.10083									0.498314524	1.726548	0.897308
18.15722									0.505642679	1.808764	0.589142
18.21361									0.637549465	1.2908	0.661651
18.27									0.256485417	0.986599	0.716034
18.32639									0.366407739	1.323687	0.444122
18.38278									0.857394108	1.529228	0.95169
18.43917									0.410376667	1.496341	0.924499
18.49556									0.337095119	1.562115	0.879181
18.55194									0.161219405	1.274357	0.906372
18.60833									0.732815477	1.315465	0.38974
18.66472									0.806097025	1.09348	1.051391
18.72111									0.388392203	1.668996	0.498504
18.7775									0.483658215	1.397681	0.95169
18.83389									0.828081489	1.159253	0.652588
18.89028									0.747471787	1.077037	0.625397
18.94667									0.63022131	1.58678	0.734161
19.00306									0.439689286	1.307243	0.416931
19.05944									0.747471787	1.118145	0.851989
19.11583									0.593580536	1.167475	1.132965
19.17222									0.527627143	1.315465	0.507568
19.22861									0.417704822	1.430568	0.561951
19.285									0.219844643	1.381238	0.997009
19.34139									0.366407739	1.307243	0.63446
19.39778									0.241829107	1.414125	0.770416
19.45417									1.113879525	1.208583	1.477386
19.51056									0.586252382	1.14281	0.797607
19.56694									0.344423274	1.323687	0.679779
19.62333									0.615565001	0.978377	0.851989
19.67972									0.556939763	1.299022	0.897308
19.73611									0.586252382	1.134589	0.743225
19.7925									0.49098637	1.373017	0.471313
19.84889									0.710831013	1.060594	0.552887
19.90528									0.227172798	1.693661	0.670715
19.96167									0.271141727	1.356573	1.123901
20.01806									0.674190239	1.381238	0.879181
20.07444									0.732815477	1.43879	1.268921
20.13083									0.959988275	1.668996	0.888244
20.18722									0.47633006	1.619666	1.078582
20.24361									0.600908691	1.685439	1.187347
20.3									0.901363037	1.512785	0.589142
20.35639									0.754799941	1.299022	1.0242
20.41278									0.073281548	1.315465	0.924499
20.46917									0.578924227	1.315465	1.006073
20.52556									1.055254287	1.126367	0.543823
20.58194									0.64487762	1.24147	1.142028
20.63833									0.96731643	1.38946	0.598205
20.69472									0.556939763	1.43879	0.969818
20.75111									0.696174703	1.348352	1.060455
20.8075									0.512970834	1.504563	0.870117
20.86389									0.410376667	1.315465	0.833862
20.92028									0.703502858	1.381238	0.571014
20.97667									0.666862084	1.545671	1.051391
21.03306									0.740143632	1.266135	0.480377
21.08944									0.505642679	0.929047	0.95169
21.14583									0.78411256	1.257913	1.123901
21.20222									0.791440715	1.19214	1.042328
21.25861									0.718159168	0.929047	1.377685
21.315									0.81342518	1.151032	0.770416
21.37139									0.732815477	0.937269	1.123901
21.42778									0.175875714	1.159253	1.033264
21.48417									0.95266012	1.04415	0.815735
21.54056									0.542283453	0.961934	0.507568
21.59694									0.703502858	0.953712	0.870117
21.65333									0.447017441	0.822166	0.752289
21.70972									0.520298989	0.863274	1.051391
21.76611									0.974644584	1.003042	0.879181
21.8225									0.49098637	1.003042	1.051391
21.87889									0.520298989	0.978377	0.897308
21.93528									0.329766965	1.027707	0.398804
21.99167									1.363036787	0.813944	0.716034
22.04806									0.293126191	0.739949	1.232666
22.10444									0.732815477	0.846831	1.078582
22.16083									0.395720358	0.846831	0.915436
22.21722									0.315110655	0.830387	0.688843
22.27361									0.930675656	0.657732	0.879181
22.33									0.520298989	0.468634	0.525696
22.38639									0.564267917	0.485078	0.580078
22.44278									0.47633006	1.060594	0.444122
22.49917									0.381064048	0.641289	0.915436
