"Time [min]"	"Agitated rep 1"	"Agitated rep 2"	"Agitated rep 3"	"Agitated rep 4"	"Idle rep 1"	"Idle rep 2"	"Idle rep 3"	"Idle rep 4"
762.666667	-0.001155764	-0.000423148	-0.001480901	-0.00234406				
765.333334	-0.001013077	-0.001159058	-0.00095823	-0.002068935				
768	-0.001298451	-0.000607125	-0.002003572	-0.002894308				
770.666666	-0.001869199	-0.001527012	-0.001306677	-0.001518686				
773.333333	-0.00087039	-0.000791103	-0.001829348	-0.001518686				
776	-0.001726512	-0.0000552	-0.001306677	-0.001793811				
778.666667	-0.001726512	-0.000239171	-0.002003572	-0.002619184				
781.333333	-0.001155764	-0.001343035	-0.002352019	-0.00426993				
784	-0.001013077	-0.000791103	-0.001655124	-0.001243562				
786.666667	-0.001583825	0.000128784	-0.001655124	-0.001793811				
789.333334	-0.001726512	-0.000423148	-0.001655124	-0.001793811				
792	-0.001441138	-0.000423148	-0.001480901	-0.001518686				
794.666666	-0.001726512	0.000128784	-0.001829348	-0.002619184				
797.333333	-0.001298451	-0.0000552	-0.00095823	-0.002894308				
800	-0.001583825	0.000312762	-0.001306677	-0.001793811				
802.666667	-0.001298451	-0.000239171	-0.0000871	-0.001518686				
805.333333	-0.001583825	0.000128784	-0.001829348	-0.000968438				
808	-0.000585016	0.000680716	-0.002003572	-0.000693313				
810.666667	-0.001726512	0.000496739	-0.001480901	-0.001793811				
813.333334	-0.001726512	0.000312762	-0.001480901	-0.002619184				
816	-0.001869199	0.000496739	-0.002003572	-0.000968438				
818.666666	-0.002439947	-0.0000552	-0.001829348	-0.001243562				
821.333333	-0.001441138	0.000128784	-0.001655124	-0.000693313				
824	-0.000727703	0.000680716	-0.001306677	-0.000968438				
826.666667	-0.001298451	0.000312762	-0.002003572	0.000407184				
829.333333	-0.001726512	0.000864694	-0.001132454	-0.001243562				
832	-0.001441138	0.000312762	-0.001306677	-0.000968438				
834.666667	-0.001441138	0.000496739	-0.001480901	-0.000693313				
837.333334	-0.001869199	0.000680716	-0.002177795	0.00013206				
840	-0.001441138	0.000864694	-0.001480901	0.000407184				
842.666666	-0.002011886	0.000680716	-0.001655124	-0.000693313				
845.333333	-0.00087039	0.001600603	-0.001829348	-0.000143065				
848	-0.001013077	0.000312762	-0.002003572	0.00013206				
850.666667	-0.001298451	0.001048671	-0.00095823	-0.000418189				
853.333333	-0.001298451	0.001600603	-0.001480901	-0.000143065				
856	-0.001726512	0.000496739	-0.001132454	0.000407184				
858.666667	-0.001013077	0.002152536	-0.001480901	0.00013206				
861.333334	-0.001155764	0.000864694	-0.001480901	0.000682308				
864	-0.001726512	0.000864694	-0.001829348	0.001232557				
866.666666	-0.001583825	0.001968558	-0.001306677	0.00205793				
869.333333	-0.001583825	0.002704468	-0.00095823	0.000407184				
872	-0.001298451	0.001968558	-0.001306677	0.001782806				
874.666667	-0.001298451	0.000680716	-0.001480901	0.000407184				
877.333333	-0.001155764	0.002152536	-0.00095823	0.001507681				
880	-0.001013077	0.001600603	-0.00095823	0.001507681				
882.666667	-0.001441138	0.00252049	-0.000435559	0.000682308				
885.333334	-0.001013077	0.002152536	-0.00095823	0.000407184				
888	-0.001155764	0.001232649	-0.000435559	0.000682308				
890.666666	-0.001441138	0.0032564	-0.001132454	-0.000143065				
893.333333	-0.001298451	0.002152536	-0.00095823	0.002333055				
896	-0.00044233	0.002336513	-0.001132454	0.000682308				
898.666667	-0.001869199	0.000864694	-0.001829348	0.001507681				
901.333333	-0.001013077	0.002336513	-0.000784006	0.00205793				
904	-0.001298451	0.002336513	-0.000784006	0.000682308				
906.666667	-0.000585016	0.002888445	-0.0000871	0.001507681				
909.333334	-0.001441138	0.002704468	-0.001132454	0.001782806				
912	-0.001298451	0.002704468	-0.0000871	0.00205793				
914.666666	-0.001013077	0.002704468	-0.000784006	0.001507681				
917.333333	-0.001441138	0.002704468	-0.000784006	0.001232557				
920	-0.001013077	0.002336513	0.000435559	0.002883303				
922.666667	-0.000585016	0.002704468	-0.000784006	0.002608179				
925.333333	-0.001298451	0.002152536	-0.000261335	0.002608179				
928	-0.001013077	0.00252049	0.0000871	0.00205793				
930.666667	-0.001583825	0.003440378	-0.000435559	0.00205793				
933.333334	-0.001298451	0.002704468	-0.000784006	0.002883303				
936	-0.001155764	0.002888445	-0.000261335	0.002333055				
938.666666	-0.00087039	0.0032564	-0.000784006	0.002883303				
941.333333	-0.00087039	0.003440378	-0.000609783	0.002333055				
944	-0.00087039	0.003440378	0.000261335	0.003158428				
946.666667	-0.001441138	0.003624355	0.0000871	0.002883303				
949.333333	-0.000585016	0.003072423	-0.000435559	0.002608179				
952	-0.001298451	0.003624355	0.000609783	0.002883303				
954.666667	-0.001155764	0.0032564	0.000435559	0.003158428				
957.333334	-0.000727703	0.004176287	0.00095823	0.002333055				
960	-0.000727703	0.003624355	0.000261335	0.003708676				
962.666666	-0.001155764	0.004360265	0.001655124	0.003983801				
965.333333	-0.000156956	0.00399231	0.000784006	0.004258925				
968	-0.001013077	0.004544242	-0.000261335	0.003708676				
970.666667	-0.001298451	0.00399231	0.000609783	0.005359422				
973.333333	-0.000727703	0.003808332	0.0000871	0.003433552				
976	-0.001155764	0.00399231	0.000261335	0.003708676				
978.666667	-0.000299643	0.003624355	0.001132454	0.004534049				
981.333334	-0.000727703	0.00399231	0.000609783	0.004809174				
984	-0.000299643	0.003440378	0.000609783	0.004534049				
986.666666	-0.000156956	0.00399231	0.000435559	0.003158428				
989.333333	-0.000727703	0.004544242	0.00095823	0.004258925				
992	-0.001155764	0.004360265	0.001306677	0.005634547				
994.666667	-0.000156956	0.0032564	0.00095823	0.004809174				
997.333333	-0.000727703	0.004544242	0.001132454	0.003433552				
1000	-0.000585016	0.005096174	0.001306677	0.003708676				
1002.66667	-0.00044233	0.005096174	0.00095823	0.004258925				
1005.33333	-0.0000143	0.004728219	0.002003572	0.005359422				
1008	-0.000585016	0.005096174	0.001655124	0.005359422				
1010.66667	-0.00044233	0.005280152	0.002352019	0.005909671				
1013.33333	-0.00044233	0.005096174	0.001829348	0.005909671				
1016	0.000413792	0.005832084	0.001306677	0.005634547				
1018.66667	0.000271105	0.005648106	0.001655124	0.005909671				
1021.33333	-0.000156956	0.005832084	0.002177795	0.006184796				
